2016-02-26 00:03:16.1642 | INFO | InspectionBoard.Areas.Account.Controllers.AccountController+<Login>d__d | Login failed
2016-02-26 00:03:55.4044 | INFO | InspectionBoard.Areas.Account.Controllers.AccountController+<Login>d__d | Login failed
2016-02-26 00:05:54.4964 | INFO | InspectionBoard.Areas.Account.Controllers.AccountController+<Login>d__d | Login failed
2016-02-26 00:08:50.4622 | INFO | InspectionBoard.Areas.Account.Controllers.AccountController+<Login>d__d | Login failed
2016-02-26 00:09:42.2753 | INFO | InspectionBoard.Areas.Account.Controllers.AccountController+<Login>d__d | Login failed
2016-02-26 00:11:48.0474 | INFO | InspectionBoard.Areas.Account.Controllers.AccountController+<Login>d__d | Login failed
2016-02-26 00:13:42.3593 | INFO | InspectionBoard.Areas.Account.Controllers.AccountController+<Login>d__d | Login failed
2016-02-26 00:15:30.8939 | INFO | InspectionBoard.Areas.Account.Controllers.AccountController+<Login>d__d | Login failed
2016-02-26 00:16:45.7798 | INFO | InspectionBoard.Areas.Account.Controllers.AccountController+<Login>d__d | User lipavets@yahoo.com.ua log in system.
2016-02-26 00:18:46.2756 | INFO | InspectionBoard.Areas.Account.Controllers.AccountController | User logout
2016-02-26 00:30:03.2321 | INFO | InspectionBoard.Areas.Account.Controllers.AccountController+<Login>d__d | Login failed
2016-02-26 00:30:44.7700 | INFO | InspectionBoard.Areas.Account.Controllers.AccountController+<Login>d__d | Login failed
2016-02-26 00:30:57.7015 | INFO | InspectionBoard.Areas.Account.Controllers.AccountController+<Login>d__d | Login failed
2016-02-26 00:31:10.5457 | INFO | InspectionBoard.Areas.Account.Controllers.AccountController+<Login>d__d | Login failed
2016-02-26 00:31:34.6999 | INFO | InspectionBoard.Areas.Account.Controllers.AccountController+<Login>d__d | Login failed
2016-02-26 00:32:26.0631 | INFO | InspectionBoard.Areas.Account.Controllers.AccountController+<Login>d__d | Login failed
2016-02-26 00:45:55.0222 | INFO | InspectionBoard.Areas.Account.Controllers.AccountController+<Login>d__d | Login failed
2016-02-26 00:46:14.3580 | INFO | InspectionBoard.Areas.Account.Controllers.AccountController+<Login>d__d | Login failed
2016-02-26 00:49:40.1469 | INFO | InspectionBoard.Areas.Account.Controllers.AccountController+<Login>d__d | Login failed
2016-02-26 00:52:14.9413 | INFO | InspectionBoard.Areas.Account.Controllers.AccountController+<Login>d__d | Login failed
2016-02-26 00:52:22.9021 | INFO | InspectionBoard.Areas.Account.Controllers.AccountController+<Login>d__d | Login failed
